locus_tag	ftype	length_bp	gene	EC_number	COG	product
PMLADGDC_02330	CDS	1542	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
PMLADGDC_02331	CDS	240	yebV			putative protein YebV
PMLADGDC_02332	CDS	192				hypothetical protein
PMLADGDC_02333	CDS	651	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
PMLADGDC_02334	CDS	234				hypothetical protein
PMLADGDC_02335	CDS	165				hypothetical protein
PMLADGDC_02336	CDS	723	sopE2			Guanine nucleotide exchange factor sopE2
PMLADGDC_02337	CDS	396	ydfO		COG5562	putative protein YdfO
PMLADGDC_02338	CDS	477				hypothetical protein
PMLADGDC_02339	CDS	174				hypothetical protein
PMLADGDC_02340	CDS	204	papC_3		COG3188	Outer membrane usher protein PapC
PMLADGDC_02341	CDS	1014				hypothetical protein
PMLADGDC_02342	CDS	513				hypothetical protein
PMLADGDC_02343	CDS	255				hypothetical protein
PMLADGDC_02344	CDS	465	cotSA	2.4.-.-	COG0438	Spore coat protein SA
PMLADGDC_02345	CDS	420		2.3.1.-		Acetyltransferase
PMLADGDC_02346	CDS	147				hypothetical protein
PMLADGDC_02347	CDS	858				IS256 family transposase IS285
PMLADGDC_02348	CDS	915	yedA_1			putative inner membrane transporter YedA
PMLADGDC_02349	CDS	159				hypothetical protein
PMLADGDC_02350	CDS	615	dsbB_2			Disulfide bond formation protein B
PMLADGDC_02351	CDS	123				hypothetical protein
PMLADGDC_02352	CDS	159				hypothetical protein
PMLADGDC_02353	CDS	501	tfaE			Prophage tail fiber assembly protein TfaE
PMLADGDC_02354	CDS	432	ymdB_2	3.1.1.106		O-acetyl-ADP-ribose deacetylase
PMLADGDC_02355	CDS	264				hypothetical protein
PMLADGDC_02356	CDS	168				hypothetical protein
PMLADGDC_02357	CDS	255				hypothetical protein
PMLADGDC_02358	CDS	231				hypothetical protein
PMLADGDC_02359	CDS	1107	recE	3.1.11.-		Exodeoxyribonuclease 8
PMLADGDC_02360	CDS	1080				hypothetical protein
PMLADGDC_02361	CDS	354				hypothetical protein
PMLADGDC_02362	CDS	876	yebZ		COG1276	Inner membrane protein YebZ
PMLADGDC_02363	CDS	375	yobA		COG2372	Protein YobA
PMLADGDC_02364	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
PMLADGDC_02365	CDS	657				hypothetical protein
PMLADGDC_02366	CDS	699	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
PMLADGDC_02367	CDS	2052	ptrB	3.4.21.83	COG1770	Protease 2
PMLADGDC_02368	CDS	660	yebE		COG2979	Inner membrane protein YebE
PMLADGDC_02369	CDS	354	yebF			Protein YebF
PMLADGDC_02370	CDS	291				hypothetical protein
PMLADGDC_02371	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
PMLADGDC_02372	CDS	642	eda		COG0800	KHG/KDPG aldolase
PMLADGDC_02373	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
PMLADGDC_02374	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
PMLADGDC_02375	CDS	870	hexR_1		COG1737	HTH-type transcriptional regulator HexR
PMLADGDC_02376	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
PMLADGDC_02377	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
PMLADGDC_02378	CDS	1320	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
PMLADGDC_02379	CDS	1002	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
PMLADGDC_02380	CDS	756	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
PMLADGDC_02381	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
PMLADGDC_02382	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
PMLADGDC_02383	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
PMLADGDC_02384	CDS	693				hypothetical protein
PMLADGDC_02385	CDS	600				hypothetical protein
PMLADGDC_02386	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
PMLADGDC_02387	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
PMLADGDC_02388	CDS	453	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
PMLADGDC_02389	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
PMLADGDC_02390	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
PMLADGDC_02391	CDS	819				hypothetical protein
PMLADGDC_02392	CDS	396	yecN		COG3788	Inner membrane protein YecN
PMLADGDC_02393	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
PMLADGDC_02394	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
PMLADGDC_02395	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
PMLADGDC_02396	CDS	570	yecM		COG3102	Protein YecM
PMLADGDC_02397	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
PMLADGDC_02398	CDS	1872	mrdA_2	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
PMLADGDC_02399	CDS	1140	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
PMLADGDC_02400	CDS	393	flhE			Flagellar protein FlhE
PMLADGDC_02401	CDS	2079	flhA		COG1298	Flagellar biosynthesis protein FlhA
PMLADGDC_02402	CDS	1152	flhB		COG1377	Flagellar biosynthetic protein FlhB
PMLADGDC_02403	CDS	648	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
PMLADGDC_02404	CDS	390	cheY		COG0784	Chemotaxis protein CheY
PMLADGDC_02405	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
PMLADGDC_02406	CDS	867	cheR	2.1.1.80		Chemotaxis protein methyltransferase
PMLADGDC_02407	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
PMLADGDC_02408	CDS	504	cheW		COG0835	Chemotaxis protein CheW
PMLADGDC_02409	CDS	2016	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
PMLADGDC_02410	CDS	930	motB		COG1360	Motility protein B
PMLADGDC_02411	CDS	888	motA		COG1291	Motility protein A
PMLADGDC_02412	CDS	579	flhC			Flagellar transcriptional regulator FlhC
PMLADGDC_02413	CDS	342	flhD			Flagellar transcriptional regulator FlhD
PMLADGDC_02414	CDS	429	uspC		COG0589	Universal stress protein C
PMLADGDC_02415	CDS	1422	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
PMLADGDC_02416	CDS	903	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
PMLADGDC_02417	CDS	558	yajL_2	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
PMLADGDC_02418	CDS	504	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
PMLADGDC_02419	CDS	639				hypothetical protein
PMLADGDC_02420	CDS	336				hypothetical protein
PMLADGDC_02421	CDS	498	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
PMLADGDC_02422	CDS	240				hypothetical protein
PMLADGDC_02423	CDS	1269	tyrP		COG0814	Tyrosine-specific transport protein
PMLADGDC_02424	CDS	666				hypothetical protein
PMLADGDC_02425	CDS	327				hypothetical protein
PMLADGDC_02426	CDS	1434				hypothetical protein
PMLADGDC_02427	CDS	285				hypothetical protein
PMLADGDC_02428	tRNA	87				tRNA-Leu(taa)
PMLADGDC_02429	tRNA	74				tRNA-Cys(gca)
PMLADGDC_02430	tRNA	76				tRNA-Gly(gcc)
PMLADGDC_02431	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
PMLADGDC_02432	CDS	1833	uvrC		COG0322	UvrABC system protein C
PMLADGDC_02433	CDS	657	uvrY		COG2197	Response regulator UvrY
PMLADGDC_02434	CDS	225				hypothetical protein
PMLADGDC_02435	CDS	723	sdiA		COG2771	Regulatory protein SdiA
PMLADGDC_02436	CDS	753	artM_2		COG1126	Arginine transport ATP-binding protein ArtM
PMLADGDC_02437	CDS	669	yecS_3		COG0765	L-cystine transport system permease protein YecS
PMLADGDC_02438	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
PMLADGDC_02439	CDS	801	fliY_2		COG0834	L-cystine-binding protein FliY
PMLADGDC_02440	CDS	552	fliZ			Regulator of sigma S factor FliZ
PMLADGDC_02441	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
PMLADGDC_02442	CDS	1206				hypothetical protein
PMLADGDC_02443	CDS	1521	fljB_2		COG1344	Phase 2 flagellin
PMLADGDC_02444	CDS	1404	fliD		COG1345	Flagellar hook-associated protein 2
PMLADGDC_02445	CDS	408	fliS		COG1516	Flagellar secretion chaperone FliS
PMLADGDC_02446	CDS	369	fliT			Flagellar protein FliT
PMLADGDC_02447	CDS	1485	amyA	3.2.1.1	COG0366	Cytoplasmic alpha-amylase
PMLADGDC_02448	CDS	414				hypothetical protein
PMLADGDC_02449	CDS	1206				hypothetical protein
PMLADGDC_02450	CDS	234	yedF		COG0425	Putative sulfur carrier protein YedF
PMLADGDC_02451	CDS	354				hypothetical protein
PMLADGDC_02452	CDS	315	fliE		COG1677	Flagellar hook-basal body complex protein FliE
PMLADGDC_02453	CDS	1683	fliF		COG1766	Flagellar M-ring protein
PMLADGDC_02454	CDS	996	fliG		COG1536	Flagellar motor switch protein FliG
PMLADGDC_02455	CDS	708	fliH		COG1317	Flagellar assembly protein FliH
PMLADGDC_02456	CDS	1371	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
PMLADGDC_02457	CDS	444	fliJ		COG2882	Flagellar FliJ protein
PMLADGDC_02458	CDS	1224	fliK		COG3144	Flagellar hook-length control protein
PMLADGDC_02459	CDS	468				hypothetical protein
PMLADGDC_02460	CDS	1005	fliM		COG1868	Flagellar motor switch protein FliM
PMLADGDC_02461	CDS	414	fliN		COG1886	Flagellar motor switch protein FliN
PMLADGDC_02462	CDS	378	fliO		COG3190	Flagellar protein FliO
PMLADGDC_02463	CDS	738	fliP		COG1338	Flagellar biosynthetic protein FliP
PMLADGDC_02464	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
PMLADGDC_02465	CDS	795	fliR		COG1684	Flagellar biosynthetic protein FliR
PMLADGDC_02466	CDS	624	rcsA_1		COG2771	Transcriptional regulatory protein RcsA
PMLADGDC_02467	CDS	195	dsrB			Protein DsrB
PMLADGDC_02468	CDS	228				hypothetical protein
PMLADGDC_02469	CDS	816	yedP	3.1.3.70	COG3769	Mannosyl-3-phosphoglycerate phosphatase
PMLADGDC_02470	CDS	1713	dgcQ	2.7.7.65		putative diguanylate cyclase DgcQ
PMLADGDC_02471	CDS	186				hypothetical protein
PMLADGDC_02472	CDS	912	yedI		COG2354	Inner membrane protein YedI
PMLADGDC_02473	CDS	921	yedA_2			putative inner membrane transporter YedA
PMLADGDC_02474	CDS	471	vsr	3.1.-.-	COG3727	Very short patch repair protein
PMLADGDC_02475	CDS	1431	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
PMLADGDC_02476	CDS	696	yedJ		COG1418	putative protein YedJ
PMLADGDC_02477	CDS	312	yedR			Inner membrane protein YedR
PMLADGDC_02478	CDS	1212	ompN_2		COG3203	Outer membrane porin N
PMLADGDC_02479	CDS	213	cspJ			Cold shock-like protein CspJ
PMLADGDC_02480	CDS	1269	umuC_1		COG0389	Protein UmuC
PMLADGDC_02481	CDS	420	umuD	3.4.21.-	COG1974	Protein UmuD
PMLADGDC_02482	tRNA	90				tRNA-Ser(cga)
PMLADGDC_02483	CDS	798	mtfA		COG3228	Protein MtfA
PMLADGDC_02484	tRNA	76				tRNA-Asn(gtt)
PMLADGDC_02485	tRNA	76				tRNA-Asn(gtt)
PMLADGDC_02486	CDS	474				hypothetical protein
PMLADGDC_02487	CDS	699				hypothetical protein
PMLADGDC_02488	CDS	2169				hypothetical protein
PMLADGDC_02489	CDS	1731				hypothetical protein
PMLADGDC_02490	CDS	174				hypothetical protein
PMLADGDC_02491	CDS	1455	amn	3.2.2.4	COG0775	AMP nucleosidase
PMLADGDC_02492	tRNA	76				tRNA-Asn(gtt)
PMLADGDC_02493	CDS	1425	yeeO		COG0534	putative FMN/FAD exporter YeeO
PMLADGDC_02494	tRNA	76				tRNA-Asn(gtt)
PMLADGDC_02495	CDS	930	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
PMLADGDC_02496	CDS	1071	cobT	2.4.2.21	COG2038	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
PMLADGDC_02497	CDS	744	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
PMLADGDC_02498	CDS	546	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
PMLADGDC_02499	CDS	1521	cobQ		COG1492	Cobyric acid synthase
PMLADGDC_02500	CDS	816	cbiO	7.-.-.-	COG1122	Cobalt import ATP-binding protein CbiO
PMLADGDC_02501	CDS	678	cbiQ		COG0619	Cobalt transport protein CbiQ
PMLADGDC_02502	CDS	282	cbiN		COG1930	Cobalt transport protein CbiN
PMLADGDC_02503	CDS	738	cbiM		COG0310	Cobalt transport protein CbiM
PMLADGDC_02504	CDS	714	cbiL	2.1.1.151	COG2243	Cobalt-precorrin-2 C(20)-methyltransferase
PMLADGDC_02505	CDS	795	cbiK	4.99.1.3	COG4822	Sirohydrochlorin cobaltochelatase
PMLADGDC_02506	CDS	792	cbiJ	1.3.1.106	COG2099	Cobalt-precorrin-6A reductase
PMLADGDC_02507	CDS	726	cbiH	2.1.1.-	COG1010	putative cobalt-factor III C(17)-methyltransferase
PMLADGDC_02508	CDS	1056	cbiG	3.7.1.12	COG2073	Cobalt-precorrin-5A hydrolase
PMLADGDC_02509	CDS	774	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
PMLADGDC_02510	CDS	579	cbiT	2.1.1.196	COG2242	Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)
PMLADGDC_02511	CDS	606	cbiE	2.1.1.289	COG2241	Cobalt-precorrin-7 C(5)-methyltransferase
PMLADGDC_02512	CDS	1140	cbiD	2.1.1.195	COG1903	Cobalt-precorrin-5B C(1)-methyltransferase
PMLADGDC_02513	CDS	633	cbiC	5.4.99.60	COG2082	Cobalt-precorrin-8 methylmutase
PMLADGDC_02514	CDS	960	cobD_2		COG1270	Cobalamin biosynthesis protein CobD
PMLADGDC_02515	CDS	1380	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
PMLADGDC_02516	CDS	912	rhaS_5			HTH-type transcriptional activator RhaS
PMLADGDC_02517	CDS	795	pduF		COG0580	Propanediol diffusion facilitator
PMLADGDC_02518	CDS	285	pduA_1		COG4577	Propanediol utilization protein PduA
PMLADGDC_02519	CDS	813	pduB		COG4816	Propanediol utilization protein PduB
PMLADGDC_02520	CDS	1665	pduC	4.2.1.28	COG4909	Propanediol dehydratase large subunit
PMLADGDC_02521	CDS	675	pduD	4.2.1.28		Propanediol dehydratase medium subunit
PMLADGDC_02522	CDS	522	pduE	4.2.1.28	COG4910	Propanediol dehydratase small subunit
PMLADGDC_02523	CDS	1833	ddrA_3			Diol dehydratase-reactivating factor alpha subunit
PMLADGDC_02524	CDS	351				hypothetical protein
PMLADGDC_02525	CDS	276	pduA_2		COG4577	Propanediol utilization protein PduA
PMLADGDC_02526	CDS	462				hypothetical protein
PMLADGDC_02527	CDS	633	pduL	2.3.1.222	COG4869	Phosphate propanoyltransferase
PMLADGDC_02528	CDS	492				hypothetical protein
PMLADGDC_02529	CDS	276	ccmL			Carbon dioxide concentrating mechanism protein CcmL
PMLADGDC_02530	CDS	1011				hypothetical protein
PMLADGDC_02531	CDS	1395	adhE_2			Aldehyde-alcohol dehydrogenase
PMLADGDC_02532	CDS	1113	adhE_3		COG1012	Aldehyde-alcohol dehydrogenase
PMLADGDC_02533	CDS	1356	rsxC_2	7.-.-.-		Ion-translocating oxidoreductase complex subunit C
PMLADGDC_02534	CDS	555				hypothetical protein
PMLADGDC_02535	CDS	351	pduU		COG4810	Propanediol utilization protein PduU
PMLADGDC_02536	CDS	453	pduV_1		COG4917	Propanediol utilization protein PduV
PMLADGDC_02537	CDS	1215	pduW	2.7.2.15	COG0282	putative propionate kinase
PMLADGDC_02538	CDS	903	pduX	2.7.1.177	COG4542	L-threonine kinase
PMLADGDC_02539	CDS	336				hypothetical protein
PMLADGDC_02540	CDS	1059	yeeA		COG1289	Inner membrane protein YeeA
PMLADGDC_02541	CDS	468	sbmC		COG3449	DNA gyrase inhibitor
PMLADGDC_02542	CDS	1167	dacD	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacD
PMLADGDC_02543	CDS	765	phsC		COG4117	Thiosulfate reductase cytochrome B subunit PhsC
PMLADGDC_02544	CDS	579	phsB		COG0437	Thiosulfate reductase electron transfer subunit PhsB
PMLADGDC_02545	CDS	2277	phsA	1.8.5.5	COG0243	Thiosulfate reductase molybdopterin-containing subunit PhsA
PMLADGDC_02546	CDS	2349	sopA	2.3.2.26	COG1357	E3 ubiquitin-protein ligase SopA
PMLADGDC_02547	CDS	1431	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
PMLADGDC_02548	CDS	1359	plaP		COG0531	Low-affinity putrescine importer PlaP
PMLADGDC_02549	CDS	915	yhaJ_2			HTH-type transcriptional regulator YhaJ
PMLADGDC_02550	CDS	825	yeeZ		COG0451	Protein YeeZ
PMLADGDC_02551	CDS	900	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
PMLADGDC_02552	CDS	1305	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
PMLADGDC_02553	CDS	1080	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
PMLADGDC_02554	CDS	1068	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
PMLADGDC_02555	CDS	591	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
PMLADGDC_02556	CDS	738	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
PMLADGDC_02557	CDS	777	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
PMLADGDC_02558	CDS	612	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
PMLADGDC_02559	CDS	984	wzzB		COG3765	Chain length determinant protein
PMLADGDC_02560	CDS	1167	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
PMLADGDC_02561	CDS	1407	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
PMLADGDC_02562	CDS	1431				hypothetical protein
PMLADGDC_02563	CDS	1437	glmM_2	5.4.2.10	COG1109	Phosphoglucosamine mutase
PMLADGDC_02564	CDS	1398	rfbM	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase RfbM
PMLADGDC_02565	CDS	1158	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PMLADGDC_02566	CDS	1011	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PMLADGDC_02567	CDS	1200				hypothetical protein
PMLADGDC_02568	CDS	1044				hypothetical protein
PMLADGDC_02569	CDS	615	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PMLADGDC_02570	CDS	963				hypothetical protein
PMLADGDC_02571	CDS	1341				hypothetical protein
PMLADGDC_02572	CDS	882	rfbJ	1.1.1.341	COG0451	CDP-abequose synthase
PMLADGDC_02573	CDS	1314	spnQ	4.2.1.164		dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase
PMLADGDC_02574	CDS	1080	rfbG	4.2.1.45	COG0451	CDP-glucose 4,6-dehydratase
PMLADGDC_02575	CDS	774	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
PMLADGDC_02576	CDS	975	ascD	1.17.1.-		CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase
PMLADGDC_02577	CDS	549	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
PMLADGDC_02578	CDS	879	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
PMLADGDC_02579	CDS	900	rfbD_2	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
PMLADGDC_02580	CDS	1086	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
PMLADGDC_02581	CDS	894	galF	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
PMLADGDC_02582	CDS	1404				hypothetical protein
PMLADGDC_02583	CDS	1221	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PMLADGDC_02584	CDS	1281				hypothetical protein
PMLADGDC_02585	CDS	1479	wzxC		COG2244	Lipopolysaccharide biosynthesis protein WzxC
PMLADGDC_02586	CDS	1395	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
PMLADGDC_02587	CDS	1371	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
PMLADGDC_02588	CDS	1437	manC1	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
PMLADGDC_02589	CDS	1224				hypothetical protein
PMLADGDC_02590	CDS	474	gmm	3.6.1.-	COG0494	GDP-mannose mannosyl hydrolase
PMLADGDC_02591	CDS	966	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
PMLADGDC_02592	CDS	1122	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
PMLADGDC_02593	CDS	555	lpxD_2	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
PMLADGDC_02594	CDS	747				hypothetical protein
PMLADGDC_02595	CDS	1215				hypothetical protein
PMLADGDC_02596	CDS	1218				hypothetical protein
PMLADGDC_02597	CDS	489	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
PMLADGDC_02598	CDS	912				hypothetical protein
PMLADGDC_02599	CDS	2160	wzc	2.7.10.-	COG0489	Tyrosine-protein kinase wzc
PMLADGDC_02600	CDS	450	wzb	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Wzb
PMLADGDC_02601	CDS	1140				hypothetical protein
PMLADGDC_02602	CDS	1581				hypothetical protein
PMLADGDC_02603	CDS	1857				hypothetical protein
PMLADGDC_02604	CDS	582	dcd	3.5.4.13	COG0717	dCTP deaminase
PMLADGDC_02605	CDS	642	udk	2.7.1.48	COG0572	Uridine kinase
PMLADGDC_02606	CDS	624	dgcE	2.7.7.65	COG2202	putative diguanylate cyclase DgcE
PMLADGDC_02607	CDS	723				hypothetical protein
PMLADGDC_02608	CDS	201				hypothetical protein
PMLADGDC_02609	CDS	198				hypothetical protein
PMLADGDC_02610	CDS	192				hypothetical protein
PMLADGDC_02611	CDS	360				hypothetical protein
PMLADGDC_02612	CDS	2337				hypothetical protein
PMLADGDC_02613	CDS	585				hypothetical protein
PMLADGDC_02614	CDS	1347				hypothetical protein
PMLADGDC_02615	CDS	561				hypothetical protein
PMLADGDC_02616	CDS	1083				hypothetical protein
PMLADGDC_02617	CDS	438				hypothetical protein
PMLADGDC_02618	CDS	633				hypothetical protein
PMLADGDC_02619	CDS	1128				hypothetical protein
PMLADGDC_02620	CDS	1422				hypothetical protein
PMLADGDC_02621	CDS	2124				hypothetical protein
PMLADGDC_02622	CDS	480				hypothetical protein
PMLADGDC_02623	CDS	366				hypothetical protein
PMLADGDC_02624	CDS	1503				hypothetical protein
PMLADGDC_02625	CDS	225				hypothetical protein
PMLADGDC_02626	CDS	537				hypothetical protein
PMLADGDC_02627	CDS	414				hypothetical protein
PMLADGDC_02628	CDS	483				hypothetical protein
PMLADGDC_02629	CDS	972				hypothetical protein
PMLADGDC_02630	CDS	1236				hypothetical protein
PMLADGDC_02631	CDS	474				hypothetical protein
PMLADGDC_02632	CDS	1317				hypothetical protein
PMLADGDC_02633	CDS	1575				hypothetical protein
PMLADGDC_02634	CDS	1689				hypothetical protein
PMLADGDC_02635	CDS	198				hypothetical protein
PMLADGDC_02636	CDS	582				hypothetical protein
PMLADGDC_02637	CDS	291				hypothetical protein
PMLADGDC_02638	CDS	309				hypothetical protein
PMLADGDC_02639	CDS	294				hypothetical protein
PMLADGDC_02640	CDS	381				hypothetical protein
PMLADGDC_02641	CDS	111				hypothetical protein
PMLADGDC_02642	CDS	501	rrrD	3.2.1.17	COG3772	Lysozyme RrrD
PMLADGDC_02643	CDS	438				hypothetical protein
PMLADGDC_02644	CDS	204				hypothetical protein
PMLADGDC_02645	CDS	519				hypothetical protein
PMLADGDC_02646	CDS	384				hypothetical protein
PMLADGDC_02647	CDS	345				hypothetical protein
PMLADGDC_02648	CDS	522				hypothetical protein
PMLADGDC_02649	CDS	528				hypothetical protein
PMLADGDC_02650	CDS	549				hypothetical protein
PMLADGDC_02651	CDS	531				hypothetical protein
PMLADGDC_02652	CDS	294				hypothetical protein
PMLADGDC_02653	CDS	228				hypothetical protein
PMLADGDC_02654	CDS	234				hypothetical protein
PMLADGDC_02655	CDS	420				hypothetical protein
PMLADGDC_02656	CDS	225				hypothetical protein
PMLADGDC_02657	CDS	924				hypothetical protein
PMLADGDC_02658	CDS	2076				hypothetical protein
PMLADGDC_02659	CDS	513				hypothetical protein
PMLADGDC_02660	CDS	2487				hypothetical protein
PMLADGDC_02661	CDS	867	alkA	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase 2
PMLADGDC_02662	CDS	1353	dnaK_1			Chaperone protein DnaK
PMLADGDC_02663	CDS	198				hypothetical protein
PMLADGDC_02664	CDS	1242	mdtA_1			Multidrug resistance protein MdtA
PMLADGDC_02665	CDS	3123	mdtB			Multidrug resistance protein MdtB
PMLADGDC_02666	CDS	3081	mdtC			Multidrug resistance protein MdtC
PMLADGDC_02667	CDS	1413	mdtD			Putative multidrug resistance protein MdtD
PMLADGDC_02668	CDS	1404	baeS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase BaeS
PMLADGDC_02669	CDS	723	baeR		COG0745	Transcriptional regulatory protein BaeR
PMLADGDC_02670	CDS	1203				hypothetical protein
PMLADGDC_02671	CDS	717				hypothetical protein
PMLADGDC_02672	CDS	2112				hypothetical protein
PMLADGDC_02673	CDS	720				hypothetical protein
PMLADGDC_02674	CDS	738				hypothetical protein
PMLADGDC_02675	CDS	498				hypothetical protein
PMLADGDC_02676	CDS	378				hypothetical protein
PMLADGDC_02677	CDS	435				hypothetical protein
PMLADGDC_02678	CDS	150	rhsD		COG3209	Protein RhsD
PMLADGDC_02679	CDS	225				hypothetical protein
PMLADGDC_02680	CDS	342				hypothetical protein
PMLADGDC_02681	CDS	132				hypothetical protein
PMLADGDC_02682	CDS	369				hypothetical protein
PMLADGDC_02683	CDS	357				hypothetical protein
PMLADGDC_02684	CDS	420				hypothetical protein
PMLADGDC_02685	CDS	618				hypothetical protein
PMLADGDC_02686	CDS	1362	rlhA_2		COG0826	23S rRNA 5-hydroxycytidine synthase
PMLADGDC_02687	CDS	1008				hypothetical protein
PMLADGDC_02688	CDS	417	cesT			Tir chaperone
PMLADGDC_02689	CDS	336				hypothetical protein
